t;id;lib;o
TypeInterv;8;Inter.réalisée en attente devis signé client;11
TypeUtilisateur;NULL;2;0
TypeUtilisateur;1;34;0
TypeUtilisateur;2;277;0
TypeUtilisateur;3;4;0
VisitesMaint;2;Ecart mini 10 mois;1
VisitesMaint;4;Ecart mini 4,5 mois;2
VisitesMaint;5;Ecart Mini 2 mois;3
VisitesMaint;6;Ecart mini 1,5 mois;4
VisitesMaint;7;Ecart mini 25 jours;6
VisitesMaint;9;Ecart mini 15 jours;12
ZoneGeo;63;Bruno.Zone Sud Est;0
ZoneGeo;68;Bx.Zone Bayonne;0
ZoneGeo;69;Bx.Zone Pau;0
ZoneGeo;70;Bx.Zone Bordeaux;0
ZoneGeo;71;F. Nantes;0
ZoneGeo;72;Bx.Zone Limoges;0
ZoneGeo;74;Bx.Zone Agen;0
ZoneGeo;75;L. La Rochelle;0
ZoneGeo;76;F. Centre;0
ZoneGeo;77;F. Bretagne Nord;0
ZoneGeo;78;Bruno.Zone Perpignan;0
ZoneGeo;79;F. Normandie Ouest;0
ZoneGeo;80;F. Angers/Le Mans/Tours;0
ZoneGeo;82;00. Hors Contrat;0
ZoneGeo;84;F. Bretagne Sud;0
ZoneGeo;85;L. Poitiers/Niort/La Roche sur Yon;0
ZoneGeo;86;L. Angouleme;0
ZoneGeo;87;Bx.Zone Bergerac;0
ZoneGeo;89;00. Hors Contrat (Kingfisher);0
ZoneGeo;91;0. Zone Nord Nord (Générale);0
ZoneGeo;92;ZZ.Libre 3;0
ZoneGeo;93;Bx.Zone Brive la Gaillarde;0
ZoneGeo;94;F. Normandie Est;0
ZoneGeo;96;Bx.Zone Perigueux;0
ZoneGeo;97;F. Paris;0
ZoneGeo;99;ZZ.Libre 2;0
ZoneGeo;100;Bx.Ancien Zone FC 17 (OGF);0
ZoneGeo;101;0. Zone Auvergne (Générale);0
ZoneGeo;106;ZZ.Libre.12;0
ZoneGeo;107;ZZ.Libre.11;0
ZoneGeo;108;F. OGF (CP 85);0
ZoneGeo;111;ZZ.Libre 5;0
ZoneGeo;112;Bx.Zone Toulouse;0
ZoneGeo;114;0. Zone Lyon (Générale);0
ZoneGeo;115;0. Zone Paris (Générale);0
ZoneGeo;116;ZZ.Libre 4;0
ZoneGeo;117;ZZ.Libre 9;0
ZoneGeo;118;ZZ.Libre 7;0
ZoneGeo;119;ZZ.Libre 1;0
ZoneGeo;120;ZZ.Libre.10;0
ZoneGeo;121;ZZ.Libre 6;0
ZoneGeo;122;ZZ.Libre 8;0
ZoneGeo;123;Benoit. Zone Nord Est;0
